M,F,,,,,,,,,,,
alpha,0,1,2,4,6,8,10,12,15,20,25,90
0,1,1,1.13,1.27,1.43,1.58,1.72,1.85,2.02,2.23,2.29,2.31
1,1,1,1.13,1.27,1.43,1.58,1.72,1.85,2.02,2.23,2.29,2.31
1.5,1,1,1.13,1.27,1.41,1.54,1.68,1.8,1.95,2.11,2.15,2.17
2,1,1,1.13,1.26,1.39,1.5,1.61,1.68,1.75,1.81,1.83,1.84
2.5,1,1,1.12,1.25,1.36,1.45,1.51,1.53,1.5,1.47,1.47,1.47
3,1,1,1.11,1.22,1.3,1.37,1.39,1.34,1.31,1.31,1.31,1.3
3.5,1,1,1.08,1.15,1.21,1.23,1.2,1.18,1.18,1.18,1.18,1.18
4,1,1,1.06,1.11,1.16,1.16,1.16,1.18,1.13,1.13,1.13,1.13
4.5,1,1,1.05,1.1,1.14,1.14,1.14,1.13,1.12,1.12,1.12,1.12
5,1,1,1.05,1.1,1.12,1.11,1.11,1.11,1.1,1.1,1.1,1.1
