M,0,,,,,,,,,,,,,,
dbd,Cd_beta,,,,,,,,,,,,,,
beta,0,2.5,5,7.5,10,12.5,15,17.5,20,25,30,35,40,45,90
0,0,0.004,0.01,0.016,0.024,0.033,0.045,0.061,0.08,0.102,0.118,0.13,0.138,0.14,0.14
0.1,0,0.004,0.01,0.017,0.026,0.035,0.047,0.062,0.08,0.102,0.116,0.126,0.132,0.134,0.134
0.2,0,0.004,0.011,0.018,0.029,0.038,0.05,0.064,0.08,0.101,0.113,0.121,0.126,0.128,0.128
0.3,0,0.004,0.012,0.02,0.03,0.041,0.053,0.067,0.08,0.098,0.109,0.115,0.119,0.12,0.12
0.4,0,0.006,0.014,0.022,0.032,0.045,0.058,0.07,0.08,0.095,0.104,0.107,0.109,0.11,0.11
0.5,0,0.007,0.016,0.026,0.036,0.049,0.061,0.07,0.078,0.09,0.094,0.097,0.098,0.098,0.098
0.6,0,0.009,0.02,0.03,0.04,0.05,0.06,0.067,0.073,0.08,0.082,0.083,0.084,0.084,0.084
0.7,0,0.014,0.025,0.034,0.042,0.049,0.054,0.059,0.062,0.065,0.066,0.066,0.066,0.066,0.066
0.8,0,0.017,0.027,0.033,0.038,0.041,0.044,0.045,0.046,0.047,0.047,0.047,0.047,0.047,0.047
0.9,0,0.016,0.022,0.024,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0.6,,,,,,,,,,,,,,
dbd,Cd_beta,,,,,,,,,,,,,,
beta,0,2.5,5,7.5,10,12.5,15,17.5,20,25,30,35,40,45,90
0,0,0.004,0.01,0.016,0.024,0.033,0.045,0.061,0.08,0.102,0.118,0.13,0.138,0.14,0.14
0.1,0,0.004,0.01,0.017,0.026,0.035,0.047,0.062,0.08,0.102,0.116,0.126,0.132,0.134,0.134
0.2,0,0.004,0.011,0.018,0.029,0.038,0.05,0.064,0.08,0.101,0.113,0.121,0.126,0.128,0.128
0.3,0,0.004,0.012,0.02,0.03,0.041,0.053,0.067,0.08,0.098,0.109,0.115,0.119,0.12,0.12
0.4,0,0.006,0.014,0.022,0.032,0.045,0.058,0.07,0.08,0.095,0.104,0.107,0.109,0.11,0.11
0.5,0,0.007,0.016,0.026,0.036,0.049,0.061,0.07,0.078,0.09,0.094,0.097,0.098,0.098,0.098
0.6,0,0.009,0.02,0.03,0.04,0.05,0.06,0.067,0.073,0.08,0.082,0.083,0.084,0.084,0.084
0.7,0,0.014,0.025,0.034,0.042,0.049,0.054,0.059,0.062,0.065,0.066,0.066,0.066,0.066,0.066
0.8,0,0.017,0.027,0.033,0.038,0.041,0.044,0.045,0.046,0.047,0.047,0.047,0.047,0.047,0.047
0.9,0,0.016,0.022,0.024,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0.7,,,,,,,,,,,,,,
dbd,Cd_beta,,,,,,,,,,,,,,
beta,0,2.5,5,7.5,10,12.5,15,17.5,20,25,30,35,40,45,90
0,0,0.004,0.009,0.016,0.024,0.032,0.045,0.062,0.08,0.103,0.118,0.13,0.138,0.14,0.14
0.1,0,0.004,0.01,0.017,0.025,0.036,0.05,0.066,0.083,0.104,0.117,0.127,0.133,0.134,0.134
0.2,0,0.004,0.011,0.018,0.028,0.04,0.054,0.07,0.086,0.104,0.115,0.122,0.127,0.128,0.128
0.3,0,0.006,0.012,0.02,0.032,0.046,0.06,0.077,0.088,0.102,0.111,0.116,0.119,0.12,0.12
0.4,0,0.006,0.015,0.024,0.036,0.052,0.068,0.08,0.088,0.099,0.105,0.108,0.11,0.11,0.11
0.5,0,0.008,0.018,0.027,0.042,0.06,0.076,0.082,0.087,0.094,0.097,0.098,0.098,0.098,0.098
0.6,0,0.011,0.021,0.031,0.046,0.063,0.076,0.079,0.082,0.085,0.086,0.086,0.085,0.084,0.084
0.7,0,0.014,0.024,0.035,0.048,0.06,0.067,0.07,0.072,0.072,0.07,0.069,0.068,0.067,0.067
0.8,0,0.018,0.027,0.036,0.044,0.049,0.052,0.053,0.053,0.052,0.051,0.05,0.048,0.048,0.048
0.9,0,0.015,0.022,0.027,0.029,0.03,0.031,0.03,0.03,0.03,0.029,0.028,0.027,0.026,0.026
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0.8,,,,,,,,,,,,,,
dbd,Cd_beta,,,,,,,,,,,,,,
beta,0,2.5,5,7.5,10,12.5,15,17.5,20,25,30,35,40,45,90
0,0,0.004,0.01,0.016,0.024,0.033,0.044,0.062,0.08,0.104,0.12,0.132,0.138,0.14,0.14
0.1,0,0.004,0.01,0.017,0.027,0.038,0.052,0.069,0.086,0.106,0.119,0.128,0.133,0.135,0.135
0.2,0,0.004,0.01,0.019,0.03,0.044,0.06,0.076,0.091,0.107,0.116,0.123,0.127,0.128,0.128
0.3,0,0.005,0.012,0.022,0.034,0.051,0.07,0.084,0.095,0.107,0.113,0.117,0.12,0.12,0.12
0.4,0,0.006,0.014,0.026,0.04,0.059,0.08,0.09,0.098,0.106,0.109,0.111,0.111,0.11,0.11
0.5,0,0.008,0.018,0.03,0.046,0.067,0.086,0.093,0.098,0.102,0.103,0.102,0.1,0.098,0.098
0.6,0,0.01,0.021,0.034,0.054,0.074,0.086,0.092,0.094,0.094,0.092,0.089,0.086,0.083,0.083
0.7,0,0.014,0.026,0.04,0.057,0.071,0.078,0.082,0.082,0.08,0.076,0.073,0.07,0.067,0.067
0.8,0,0.017,0.028,0.041,0.051,0.058,0.061,0.062,0.06,0.058,0.056,0.054,0.05,0.047,0.047
0.9,0,0.015,0.024,0.029,0.033,0.035,0.036,0.036,0.035,0.033,0.032,0.03,0.028,0.026,0.026
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
