M,0.9,,,,,,,,
dbd,Cd_beta,,,,,,,,
beta,0,2,4,6,8,10,12,14,16
0,0,0.008,0.017,0.027,0.041,0.06,0.088,0.106,0.118
0.1,0,0.008,0.017,0.027,0.041,0.06,0.088,0.106,0.118
0.2,0,0.008,0.017,0.027,0.041,0.06,0.088,0.106,0.118
0.3,0,0.007,0.017,0.027,0.042,0.062,0.088,0.105,0.118
0.4,0,0.007,0.017,0.028,0.043,0.064,0.088,0.104,0.116
0.5,0,0.007,0.018,0.03,0.046,0.067,0.088,0.103,0.113
0.6,0,0.01,0.02,0.034,0.051,0.069,0.086,0.098,0.108
0.7,0,0.012,0.027,0.04,0.054,0.068,0.08,0.09,0.097
0.8,0,0.015,0.028,0.039,0.048,0.056,0.064,0.07,0.076
0.9,0,0.011,0.02,0.027,0.032,0.036,0.04,0.043,0.045
1,0,0,0,0,0,0,0,0,0
M,0.95,,,,,,,,
dbd,Cd_beta,,,,,,,,
beta,0,2,4,6,8,10,12,14,16
0,0,0.011,0.026,0.046,0.072,0.104,0.142,0.17,0.19
0.1,0,0.011,0.026,0.046,0.072,0.104,0.14,0.166,0.186
0.2,0,0.011,0.026,0.046,0.072,0.104,0.137,0.162,0.181
0.3,0,0.011,0.026,0.046,0.072,0.104,0.134,0.158,0.176
0.4,0,0.011,0.026,0.046,0.072,0.104,0.13,0.154,0.17
0.5,0,0.014,0.029,0.05,0.076,0.104,0.126,0.148,0.162
0.6,0,0.015,0.033,0.056,0.078,0.101,0.119,0.136,0.148
0.7,0,0.016,0.034,0.056,0.077,0.095,0.109,0.119,0.128
0.8,0,0.016,0.032,0.05,0.068,0.082,0.091,0.097,0.101
0.9,0,0.012,0.02,0.029,0.036,0.042,0.048,0.052,0.056
1,0,0,0,0,0,0,0,0,0
M,1,,,,,,,,
dbd,Cd_beta,,,,,,,,
beta,0,2,4,6,8,10,12,14,16
0,0,0.036,0.072,0.108,0.144,0.18,0.212,0.233,0.253
0.1,0,0.036,0.072,0.108,0.144,0.18,0.209,0.23,0.246
0.2,0,0.036,0.072,0.108,0.144,0.18,0.206,0.224,0.238
0.3,0,0.036,0.072,0.108,0.144,0.18,0.202,0.217,0.23
0.4,0,0.036,0.072,0.107,0.143,0.179,0.197,0.209,0.22
0.5,0,0.035,0.071,0.105,0.14,0.175,0.19,0.199,0.206
0.6,0,0.033,0.066,0.099,0.132,0.166,0.178,0.185,0.189
0.7,0,0.028,0.057,0.084,0.114,0.14,0.152,0.158,0.162
0.8,0,0.022,0.043,0.064,0.087,0.118,0.117,0.122,0.127
0.9,0,0.013,0.027,0.038,0.052,0.063,0.07,0.075,0.077
1,0,0,0,0,0,0,0,0,0
M,1.05,,,,,,,,
dbd,Cd_beta,,,,,,,,
beta,0,2,4,6,8,10,12,14,16
0,0,0.037,0.076,0.113,0.15,0.186,0.224,0.256,0.284
0.1,0,0.037,0.076,0.113,0.15,0.186,0.222,0.254,0.282
0.2,0,0.037,0.075,0.113,0.15,0.185,0.22,0.251,0.28
0.3,0,0.037,0.075,0.113,0.15,0.184,0.218,0.248,0.276
0.4,0,0.036,0.074,0.111,0.147,0.183,0.215,0.243,0.268
0.5,0,0.035,0.071,0.106,0.141,0.178,0.208,0.233,0.258
0.6,0,0.033,0.066,0.1,0.132,0.166,0.194,0.22,0.242
0.7,0,0.03,0.06,0.091,0.12,0.148,0.174,0.196,0.217
0.8,0,0.025,0.052,0.078,0.101,0.124,0.141,0.153,0.169
0.9,0,0.018,0.037,0.054,0.066,0.078,0.086,0.092,0.098
1,0,0,0,0,0,0,0,0,0
M,1.1,,,,,,,,
dbd,Cd_beta,,,,,,,,
beta,0,2,4,6,8,10,12,14,16
0,0,0.036,0.073,0.109,0.145,0.182,0.218,0.252,0.283
0.1,0,0.036,0.072,0.108,0.144,0.18,0.216,0.25,0.28
0.2,0,0.035,0.071,0.108,0.142,0.178,0.213,0.247,0.277
0.3,0,0.034,0.07,0.106,0.14,0.175,0.21,0.243,0.272
