M,dStarL*1e3,,,,,,,,
logR,5,5.477121255,6,6.477121255,7,7.477121255,8,8.477121255,9
0,4.59,3.69,3,2.38,1.89,1.55,1.25,0.92,0.8
0.5,4.73,3.94,3.14,2.55,2.04,1.7,1.35,1.01,0.88
1,5.28,4.45,3.6,2.92,2.3,1.89,1.51,1.13,1
1.5,6.1,5.2,4.27,3.5,2.8,2.3,1.86,1.38,1.2
2,7.02,5.97,4.91,4.11,3.33,2.7,2.18,1.62,1.42
2.5,7.92,6.77,5.62,4.7,3.88,3.2,2.6,1.95,1.71
3,8.43,7.41,6.39,5.37,4.39,3.62,2.94,2.26,2
3.5,9.19,8.11,7.03,5.95,4.89,4.05,3.34,2.55,2.27
4,9.72,8.64,7.56,6.48,5.4,4.5,3.7,2.83,2.5
4.5,10.57,9.4,8.23,7.06,5.89,4.91,4.04,3.1,2.77
5,11.2,10.2,9,7.5,6.3,5.3,4.4,3.4,3.02
