lambda,0,,,
back,x/c,,,
betaAR,0,1.5,3,5
0,0.25,0.261,0.262,0.262
2,0.5,0.403,0.362,0.333
4,0.513,0.477,0.439,0.402
6,0.539,0.516,0.493,0.461
lambda,0.25,,,
back,x/c,,,
betaAR,0,1.5,3,5
0,0.143,0.217,0.237,0.245
2,0.381,0.327,0.303,0.289
4,0.426,0.397,0.368,0.342
6,0.462,0.439,0.42,0.395
lambda,0.5,,,
back,x/c,,,
betaAR,0,1.5,3,5
0,0.071,0.195,0.224,0.236
2,0.286,0.253,0.246,0.244
4,0.326,0.302,0.284,0.27
6,0.358,0.335,0.322,0.306
lambda,1,,,
back,x/c,,,
betaAR,0,1.5,3,5
0,0,0.195,0.225,0.236
2,0.167,0.165,0.178,0.191
4,0.182,0.174,0.171,0.175
6,0.202,0.189,0.184,0.18
