lambda,0,,,,,,,,,
back,x/c,,,,,,,,,
betaAR-back,-6,-4,-2,0,2,4,8,12,100,200
0,0,0,0.05,0.25,0.45,0.475,0.49,0.495,0.495,0.495
1,0,0.07,0.27,0.47,0.47,0.485,0.495,0.497,0.497,0.497
2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3,0.41,0.475,0.54,0.54,0.54,0.52,0.51,0.503,0.503,0.503
4,0.45,0.515,0.58,0.58,0.58,0.545,0.52,0.505,0.505,0.505
5,0.495,0.56,0.625,0.625,0.625,0.57,0.53,0.51,0.51,0.51
6,0.54,0.605,0.67,0.67,0.67,0.6,0.55,0.52,0.52,0.52
lambda,0.25,,,,,,,,,
back,x/c,,,,,,,,,
betaAR-back,-6,-4,-2,-1.2,0,1.2,2,4,8,12
0,0,0,0,0,0.14,0.33,0.45,0.485,0.493,0.497
1,0,0,0.18,0.25,0.38,0.43,0.47,0.49,0.497,0.499
2,0.31,0.34,0.37,0.43,0.45,0.47,0.49,0.5,0.5,0.5
3,0.36,0.39,0.42,0.49,0.5,0.51,0.525,0.52,0.508,0.501
4,0.355,0.425,0.495,0.545,0.5475,0.55,0.57,0.545,0.53,0.503
5,0.41,0.49,0.57,0.605,0.6,0.595,0.615,0.57,0.54,0.51
6,0.47,0.55,0.63,0.665,0.65,0.635,0.655,0.6,0.56,0.52
lambda,0.5,,,,,,,,,
back,x/c,,,,,,,,,
betaAR-back,-6,-4,-2,-0.667,0,0.667,2,4,8,12
0,0,0,0,0,0.07,0.31,0.45,0.48,0.496,0.498
1,0,0,0,0.26,0.34,0.385,0.455,0.48,0.497,0.499
2,0.215,0.25,0.285,0.385,0.4,0.41,0.475,0.49,0.498,0.499
3,0.265,0.29,0.315,0.435,0.44,0.445,0.51,0.505,0.499,0.5
4,0.27,0.325,0.38,0.48,0.485,0.49,0.54,0.525,0.501,0.5
5,0.31,0.38,0.45,0.52,0.525,0.53,0.585,0.55,0.512,0.505
6,0.355,0.435,0.515,0.565,0.5675,0.57,0.625,0.57,0.525,0.51
lambda,1,,,,,,,,,
back,x/c,,,,,,,,,
betaAR-back,-6,-4,-2,0,1,2,4,8,12,100
0,0,0,0,0,0.34,0.45,0.475,0.49,0.495,0.495
1,0,0,0,0.17,0.37,0.44,0.465,0.48,0.485,0.485
2,0,0,0.17,0.31,0.4,0.45,0.465,0.475,0.48,0.48
3,0,0.11,0.24,0.37,0.435,0.47,0.475,0.475,0.48,0.48
4,0.07,0.185,0.3,0.415,0.47,0.495,0.49,0.48,0.485,0.485
5,0.135,0.245,0.355,0.465,0.51,0.52,0.505,0.49,0.495,0.495
6,0.21,0.31,0.41,0.51,0.545,0.555,0.52,0.495,0.495,0.495
