M,0,,,,,,
lfd,k,,,,,,
lcd,0,2,4,6,8,10,50
1.5,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69
2,-0.92,-0.92,-0.92,-0.92,-0.92,-0.92,-0.92
3,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38
4,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
5,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3
6,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76
7,-3.22,-3.22,-3.22,-3.22,-3.22,-3.22,-3.22
M,1,,,,,,
lfd,k,,,,,,
lcd,0,2,4,6,8,10,50
1.5,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69
2,-0.92,-0.92,-0.92,-0.92,-0.92,-0.92,-0.92
3,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38
4,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
5,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3
6,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76
7,-3.22,-3.22,-3.22,-3.22,-3.22,-3.22,-3.22
M,2,,,,,,
lfd,k,,,,,,
lcd,0,2,4,6,8,10,50
1.5,-0.69,-0.87,-0.9,-0.82,-0.73,-0.71,-0.71
2,-0.9,-1.15,-1.2,-1.1,-1.03,-1.02,-1.02
3,-1.4,-1.68,-1.77,-1.65,-1.59,-1.59,-1.59
4,-1.83,-2.18,-2.29,-2.2,-2.11,-2.11,-2.11
5,-2.31,-2.63,-2.86,-2.66,-2.6,-2.6,-2.6
6,-2.78,-3.11,-3.19,-3.09,-3.02,-3.02,-3.02
7,-3.23,-3.55,-3.4,-3.39,-3.36,-3.36,-3.36
M,3,,,,,,
lfd,k,,,,,,
lcd,0,2,4,6,8,10,50
1.5,-0.69,-1.01,-1.27,-1.09,-0.96,-0.94,-0.94
2,-0.9,-1.3,-1.49,-1.38,-1.28,-1.24,-1.24
3,-1.4,-1.85,-2.08,-1.99,-1.86,-1.84,-1.84
4,-1.83,-2.39,-2.6,-2.52,-2.41,-2.4,-2.4
5,-2.31,-2.9,-3.09,-3,-2.9,-2.89,-2.89
6,-2.78,-3.34,-3.5,-3.33,-3.26,-3.23,-3.23
7,-3.23,-3.73,-3.8,-3.56,-3.46,-3.44,-3.44
M,4,,,,,,
lfd,k,,,,,,
lcd,0,2,4,6,8,10,50
1.5,-0.69,-1.09,-1.34,-1.39,-1.23,-1.2,-1.2
2,-0.9,-1.38,-1.65,-1.7,-1.53,-1.5,-1.5
3,-1.4,-1.91,-2.23,-2.3,-2.1,-2.08,-2.08
4,-1.83,-2.45,-2.78,-2.8,-2.6,-2.6,-2.6
5,-2.31,-2.95,-3.23,-3.22,-3.09,-3.04,-3.04
6,-2.78,-3.4,-3.68,-3.6,-3.45,-2.42,-2.42
7,-3.23,-3.8,-4,-3.81,-3.74,-3.74,-3.74
M,5,,,,,,
lfd,k,,,,,,
lcd,0,2,4,6,8,10,50
1.5,-0.69,-1.01,-1.42,-1.52,-1.44,-1.34,-1.34
2,-0.9,-1.4,-1.71,-1.8,-1.7,-1.51,-1.51
3,-1.4,-1.93,-2.27,-2.32,-2.19,-2.11,-2.11
4,-1.83,-2.45,-2.77,-2.82,-2.66,-2.6,-2.6
5,-2.31,-2.94,-3.25,-3.29,-3.1,-3.03,-3.03
6,-2.78,-3.4,-3.68,-3.64,-3.5,-3.43,-3.43
7,-3.23,-3.8,-4.02,-3.9,-3.79,-3.75,-3.75
