M,Cf*1e3,,,,,,,,
logR,5,5.477121255,6,6.477121255,7,7.477121255,8,8.477121255,9
0,7.15,5.57,4.36,3.6,2.97,2.5,2.1,1.81,1.56
0.5,7.15,5.45,4.3,3.54,2.91,2.45,2.06,1.79,1.54
1,7.15,5.22,4.1,3.36,2.74,2.31,1.93,1.68,1.43
1.5,7.15,4.9,3.81,3.1,2.53,2.13,1.8,1.54,1.32
2,7.15,4.52,3.5,2.82,2.3,1.92,1.61,1.39,1.18
2.5,7.15,4.19,3.2,2.58,2.08,1.73,1.45,1.23,1.05
3,7.15,4.11,2.9,2.33,1.87,1.56,1.3,1.11,0.94
3.5,7.15,4.11,2.65,2.1,1.69,1.4,1.17,0.99,0.84
4,7.15,4.11,2.46,1.92,1.53,1.27,1.05,0.89,0.75
4.5,7.15,4.11,2.27,1.79,1.4,1.16,0.95,0.8,0.67
5,7.15,4.11,2.21,1.63,1.29,1.05,0.86,0.7,0.61
