M,Cnc,,,,,,,,,,,,
alpha,0,5,10,15,20,25,30,40,50,60,70,80,90
0,0,0.004,0.015,0.034,0.064,0.11,0.176,0.32,0.47,0.58,0.64,0.64,0.64
0.4,0,0.004,0.015,0.034,0.064,0.11,0.176,0.32,0.47,0.58,0.64,0.64,0.64
0.45,0,0.004,0.015,0.034,0.064,0.11,0.176,0.32,0.47,0.58,0.65,0.67,0.67
0.5,0,0.004,0.015,0.034,0.064,0.11,0.176,0.33,0.47,0.59,0.68,0.73,0.75
0.6,0,0.004,0.015,0.035,0.064,0.11,0.177,0.33,0.48,0.63,0.79,0.98,1.04
0.7,0,0.004,0.015,0.035,0.065,0.115,0.185,0.34,0.52,0.7,0.96,1.21,1.28
0.8,0,0.004,0.015,0.036,0.07,0.122,0.205,0.42,0.64,0.88,1.15,1.37,1.45
0.9,0,0.004,0.015,0.036,0.076,0.147,0.231,0.48,0.76,1.03,1.27,1.47,1.56
1,0,0.004,0.015,0.037,0.09,0.182,0.27,0.53,0.83,1.1,1.33,1.52,1.61
1.1,0,0.004,0.015,0.04,0.102,0.21,0.304,0.56,0.85,1.13,1.36,1.54,1.62
1.2,0,0.004,0.015,0.042,0.115,0.225,0.319,0.58,0.86,1.14,1.36,1.52,1.6
1.3,0,0.004,0.015,0.045,0.125,0.234,0.337,0.6,0.86,1.12,1.32,1.47,1.52
1.4,0,0.004,0.015,0.048,0.135,0.243,0.352,0.61,0.86,1.1,1.29,1.43,1.47
1.5,0,0.004,0.015,0.051,0.143,0.249,0.36,0.62,0.85,1.08,1.26,1.38,1.42
1.6,0,0.004,0.015,0.056,0.15,0.255,0.368,0.62,0.84,1.06,1.23,1.35,1.39
1.8,0,0.004,0.016,0.069,0.16,0.261,0.384,0.61,0.83,1.04,1.21,1.32,1.36
2,0,0.005,0.018,0.078,0.166,0.264,0.384,0.6,0.82,1.02,1.18,1.29,1.33
2.2,0,0.005,0.02,0.085,0.17,0.265,0.38,0.59,0.8,1,1.17,1.28,1.32
2.4,0,0.006,0.024,0.09,0.17,0.26,0.371,0.57,0.79,0.99,1.15,1.26,1.31
2.5,0,0.007,0.026,0.09,0.168,0.256,0.357,0.56,0.77,0.97,1.14,1.25,1.3
2.6,0,0.007,0.028,0.09,0.166,0.251,0.35,0.55,0.76,0.96,1.13,1.25,1.3
2.8,0,0.008,0.031,0.09,0.161,0.242,0.335,0.53,0.75,0.95,1.13,1.24,1.29
3,0,0.009,0.034,0.09,0.155,0.233,0.325,0.52,0.73,0.94,1.12,1.24,1.29
3.2,0,0.009,0.035,0.088,0.152,0.225,0.316,0.51,0.72,0.93,1.12,1.24,1.29
3.4,0,0.009,0.035,0.086,0.15,0.221,0.31,0.51,0.72,0.93,1.11,1.24,1.28
3.5,0,0.009,0.036,0.085,0.149,0.221,0.308,0.5,0.71,0.92,1.11,1.24,1.28
3.6,0,0.009,0.036,0.085,0.148,0.22,0.306,0.49,0.71,0.92,1.11,1.24,1.28
3.8,0,0.009,0.036,0.085,0.147,0.22,0.306,0.49,0.7,0.92,1.11,1.24,1.28
4,0,0.009,0.036,0.085,0.147,0.219,0.306,0.48,0.7,0.92,1.11,1.24,1.28
5,0,0.009,0.036,0.085,0.147,0.219,0.306,0.48,0.7,0.92,1.11,1.24,1.28
